replrev,order_id,sess_id,isin_id,amount,amount_rest,id_deal,xstatus,price,price_scale,moment,moment_ns,dir,action,deal_price,deal_price_scale
247497241510,1953465969351327976,6899,3032021,4,4,0,4609,26303.00000,5,2023/10/04 18:58:00.739,1696435080739101496,1,1,0.00000,0
247497241512,1953465969351327977,6899,3032021,1,1,0,4097,27995.00000,5,2023/10/04 18:58:00.739,1696435080739449239,2,1,0.00000,0
247497241514,1953465969351327978,6899,3032021,100,100,0,4097,26025.00000,5,2023/10/04 18:58:00.740,1696435080740056963,1,1,0.00000,0
247497241518,1953465969351327981,6899,3032021,50,50,0,4097,26212.00000,5,2023/10/04 18:58:00.740,1696435080740848300,1,1,0.00000,0
247497241519,1953465969351327982,6899,3032021,36,36,0,4097,24421.00000,5,2023/10/04 18:58:00.741,1696435080741195575,1,1,0.00000,0
247497241522,1953465969351327983,6899,3032021,5,5,0,4097,27300.00000,5,2023/10/04 18:58:00.741,1696435080741943176,2,1,0.00000,0
247497241523,1953465969351327984,6899,3032021,50,50,0,4097,26303.00000,5,2023/10/04 18:58:00.742,1696435080742094852,1,1,0.00000,0
247497241524,1953465969351327985,6899,3366187,1,1,0,4097,28660.00000,5,2023/10/04 18:58:00.742,1696435080742236037,2,1,0.00000,0
247497241528,1953465969351327987,6899,3032021,5,5,0,4097,27400.00000,5,2023/10/04 18:58:00.742,1696435080742873391,2,1,0.00000,0
247497241529,1953465969351327988,6899,3366187,1,1,0,4097,26652.00000,5,2023/10/04 18:58:00.743,1696435080743031662,1,1,0.00000,0
247497241530,1953465969351327989,6899,3366187,1,1,0,4097,29860.00000,5,2023/10/04 18:58:00.743,1696435080743176465,2,1,0.00000,0
247497241532,1953465969351327990,6899,3366187,1,1,0,4097,28060.00000,5,2023/10/04 18:58:00.743,1696435080743809414,2,1,0.00000,0
247497241534,1953465969351327992,6899,3032021,15,15,0,4097,25324.00000,5,2023/10/04 18:58:00.744,1696435080744230848,1,1,0.00000,0
247497241535,1953465969351327993,6899,3032021,5,5,0,4097,26145.00000,5,2023/10/04 18:58:00.744,1696435080744373865,1,1,0.00000,0
247497241537,1953465969351327994,6899,3366187,1,1,0,4097,30260.00000,5,2023/10/04 18:58:00.744,1696435080744663725,2,1,0.00000,0
